time,VLA,VLV,VRA,VRV,pARSYS
1.7001000000e+00,8.9666670835e+01,1.5813270222e+02,9.8317314447e+01,1.4058422013e+02,8.7403984288e+01
1.7101000000e+00,8.9730613205e+01,1.5813270260e+02,9.9263323159e+01,1.3987587003e+02,8.6750852668e+01
1.7201000000e+00,8.9873077614e+01,1.5813269872e+02,1.0021071590e+02,1.3473397162e+02,8.6106227414e+01
1.7301000000e+00,9.0091277114e+01,1.5604122493e+02,1.0115974251e+02,1.2624367735e+02,8.7212039416e+01
1.7401000000e+00,9.0383474564e+01,1.5079377640e+02,1.0211064851e+02,1.1622335498e+02,9.0936503752e+01
1.7501000000e+00,9.0749290598e+01,1.4463245823e+02,1.0306368595e+02,1.0610940558e+02,9.5384354405e+01
1.7601000000e+00,9.1189626608e+01,1.3790347092e+02,1.0401911150e+02,9.6834425182e+01,1.0025251196e+02
1.7701000000e+00,9.1706282721e+01,1.3088853227e+02,1.0497717903e+02,8.8857847153e+01,1.0529842613e+02
1.7801000000e+00,9.2301451626e+01,1.2382148821e+02,1.0593813507e+02,8.2290289596e+01,1.1032355114e+02
1.7901000000e+00,9.2977246538e+01,1.1688864438e+02,1.0690221563e+02,7.7039810584e+01,1.1517192477e+02
1.8001000000e+00,9.3735355261e+01,1.1023944070e+02,1.0786964360e+02,7.2930680581e+01,1.1972057786e+02
1.8101000000e+00,9.4576846838e+01,1.0397542049e+02,1.0884062665e+02,6.9777567131e+01,1.2388820394e+02
1.8201000000e+00,9.5502112531e+01,9.8159422872e+01,1.0981535547e+02,6.7420830985e+01,1.2762697922e+02
1.8301000000e+00,9.6510902209e+01,9.2821832253e+01,1.1079400234e+02,6.5737036230e+01,1.3091689610e+02
1.8401000000e+00,9.7602414704e+01,8.7966550798e+01,1.1177672008e+02,6.4637442959e+01,1.3376040145e+02
1.8501000000e+00,9.8775408311e+01,8.3579309330e+01,1.1276364118e+02,6.4028843182e+01,1.3617515864e+02
1.8601000000e+00,1.0002830898e+02,7.9635769170e+01,1.1375487722e+02,6.3747548143e+01,1.3818707121e+02
1.8701000000e+00,1.0135930880e+02,7.6107157395e+01,1.1475051842e+02,6.3694064126e+01,1.3982544973e+02
1.8801000000e+00,1.0276645611e+02,7.2966338381e+01,1.1575063331e+02,6.3694061162e+01,1.4111788637e+02
1.8901000000e+00,1.0424773460e+02,7.0193651400e+01,1.1675526848e+02,6.3694058288e+01,1.4208539110e+02
1.9001000000e+00,1.0580113253e+02,6.7778870209e+01,1.1776444836e+02,6.3694055535e+01,1.4274082210e+02
1.9101000000e+00,1.0742469293e+02,6.5722081433e+01,1.1877817509e+02,6.3694052932e+01,1.4308824692e+02
1.9201000000e+00,1.0911653755e+02,6.4043119816e+01,1.1979642824e+02,6.3694050508e+01,1.4311519702e+02
1.9301000000e+00,1.1087486759e+02,6.2789600098e+01,1.2081916461e+02,6.3694048288e+01,1.4278616731e+02
1.9401000000e+00,1.1269794785e+02,6.2055614089e+01,1.2184631790e+02,6.3694046296e+01,1.4202731663e+02
1.9501000000e+00,1.1458408031e+02,6.1933978912e+01,1.2287779831e+02,6.3694044553e+01,1.4076671998e+02
1.9601000000e+00,1.1653157129e+02,6.1933963530e+01,1.2391349187e+02,6.3694043077e+01,1.3941894574e+02
1.9701000000e+00,1.1853869683e+02,6.1933950507e+01,1.2495326109e+02,6.3694041884e+01,1.3808788155e+02
1.9801000000e+00,1.2060366686e+02,6.1933940104e+01,1.2599694687e+02,6.3694040986e+01,1.3677406147e+02
1.9901000000e+00,1.2272458914e+02,6.1933932422e+01,1.2704436957e+02,6.3694040393e+01,1.3547745941e+02
2.0001000000e+00,1.2489943433e+02,6.1933927531e+01,1.2809532945e+02,6.3694040110e+01,1.3419790023e+02
2.0101000000e+00,1.2712600251e+02,6.1933925422e+01,1.2914960704e+02,6.3694040142e+01,1.3293517081e+02
2.0201000000e+00,1.2940189119e+02,6.1933926002e+01,1.3020696353e+02,6.3694040487e+01,1.3168905003e+02
2.0301000000e+00,1.3172446492e+02,6.1933929120e+01,1.3126714121e+02,6.3694041141e+01,1.3045931687e+02
2.0401000000e+00,1.3409082673e+02,6.1933934580e+01,1.3232986400e+02,6.3694042100e+01,1.2924575250e+02
2.0501000000e+00,1.3649779133e+02,6.1933942153e+01,1.3339483803e+02,6.3694043351e+01,1.2804814089e+02
2.0601000000e+00,1.3894186038e+02,6.1933951594e+01,1.3446175233e+02,6.3694044883e+01,1.2686626890e+02
2.0701000000e+00,1.4141919988e+02,6.1933962647e+01,1.3553027957e+02,6.3694046680e+01,1.2569992628e+02
2.0801000000e+00,1.4392561998e+02,6.1933975055e+01,1.3660007691e+02,6.3694048724e+01,1.2454890565e+02
2.0901000000e+00,1.4645655731e+02,6.1933988574e+01,1.3767078687e+02,6.3694050993e+01,1.2341300247e+02
2.1001000000e+00,1.4897792300e+02,6.1963140546e+01,1.3874203831e+02,6.3694053464e+01,1.2229201500e+02
2.1101000000e+00,1.5032126360e+02,6.3186481920e+01,1.3981344752e+02,6.3694056112e+01,1.2118574435e+02
2.1201000000e+00,1.5055496087e+02,6.5543511586e+01,1.4088436984e+02,6.3694308340e+01,1.2009399432e+02
2.1301000000e+00,1.5015158746e+02,6.8574732510e+01,1.4163152439e+02,6.4017778260e+01,1.1901657130e+02
2.1401000000e+00,1.4942185920e+02,7.1978470219e+01,1.4190304569e+02,6.4816541370e+01,1.1795328434e+02
2.1501000000e+00,1.4863591093e+02,7.5487348016e+01,1.4189422734e+02,6.5895614680e+01,1.1690394498e+02
2.1601000000e+00,1.4797666394e+02,7.8914866727e+01,1.4178679250e+02,6.7073439706e+01,1.1586836727e+02
2.1701000000e+00,1.4755495471e+02,8.2141452565e+01,1.4172824072e+02,6.8202544035e+01,1.1484636767e+02
2.1801000000e+00,1.4741800057e+02,8.5107549193e+01,1.4174344418e+02,6.9257998537e+01,1.1383776507e+02
2.1901000000e+00,1.4755660671e+02,8.7807929217e+01,1.4182531058e+02,7.0246831373e+01,1.1284238077e+02
